,,,,,,,,,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019,Lead Strategy Map Data - 01/01/2017 to 5/20/2019, 5 Year PNA , 5 Year PNA ,5 Year PNA, 20 Year PNA , 20 Year PNA ,20 Year PNA,,,,,
PALMETTO GARDENS,2019,,,,,PACT,115,46.46%,159.6,20.2,0.00,0," $17,467,966 "," $151,895 ",38%," $25,860,842 "," $224,877 ",56%,,,,,
PARK AVENUE-EAST 122ND 123RD STREETS,2019,,,,,PACT,90,45.49%,475.9,88.5,12.36,0," $18,414,211 "," $204,602 ",51%," $29,462,251 "," $327,358 ",82%,,,,,
PARK ROCK REHAB,2025,,,,,PACT,134,61.40%,403.1,51.9,21.64,0," $32,180,355 "," $240,152 ",60%," $45,397,773 "," $338,789 ",85%,,,,,
PATTERSON,2025,,,,,PACT,"1,791",22.42%,240.9,66.7,13.11,0," $304,627,360 "," $170,088 ",43%," $402,925,142 "," $224,972 ",56%,,,,,
PELHAM PARKWAY,2022,,YES,,,PACT,"1,266",17.88%,171.4,90.7,10.53,721," $265,740,157 "," $209,905 ",52%," $352,046,952 "," $278,078 ",70%,,,,,
POMONOK,2027,,YES,,,PACT,"2,071",16.51%,149.3,91.4,11.71,"1,052"," $397,802,515 "," $192,082 ",48%," $655,819,012 "," $316,668 ",79%,,,,,
PUBLIC SCHOOL 139 (CONVERSION),2019,,,,,PACT,125,40.53%,70.8,5.8,0.00,0," $17,282,194 "," $138,258 ",35%," $35,526,811 "," $284,214 ",71%,,,,,
RALPH AVENUE REHAB,2021,,,,,PACT,118,39.70%,307.8,86.2,18.80,0," $20,724,726 "," $175,633 ",44%," $42,000,545 "," $355,937 ",89%,,,,,
RANDALL AVENUE-BALCOM AVENUE,2022,,,,,PACT,252,20.95%,257.3,28.0,0.00,0," $49,680,492 "," $197,145 ",49%," $60,364,619 "," $239,542 ",60%,,,,,
RED HOOK EAST,2024,,YES,,,PACT,"1,411",22.45%,212.6,73.5,11.73,675," $291,814,434 "," $206,814 ",52%," $373,682,137 "," $264,835 ",66%,,,,,
RED HOOK WEST,2025,,YES,,,PACT,"1,480",20.11%,223.6,74.1,13.70,881," $278,126,673 "," $187,923 ",47%," $363,345,692 "," $245,504 ",61%,,,,,
REDFERN,2022,,,,,PACT,604,11.67%,231.3,150.5,17.57,0," $127,394,328 "," $210,918 ",53%," $163,356,458 "," $270,458 ",68%,,,,,
REID APARTMENTS,2021,,,,,PACT,230,19.32%,147.3,25.9,0.00,0," $33,768,950 "," $146,822 ",37%," $46,017,365 "," $200,075 ",50%,,,,,
RUTLAND TOWERS,2021,,,,,PACT,61,69.43%,651.7,71.7,11.48,0," $13,163,891 "," $215,801 ",54%," $16,683,697 "," $273,503 ",68%,,,,,
SACK WERN,2024,,,,,PACT,413,27.78%,286.8,59.3,8.58,0," $81,054,429 "," $196,258 ",49%," $120,449,985 "," $291,646 ",73%,,,,,
SAMUEL (CITY),2026,,,,,PACT,664,57.72%,181.6,48.6,14.59,0," $266,097,579 "," $400,749 ",100%," $333,070,173 "," $501,612 ",125%,,,,,
SAMUEL (MHOP) I,2019,,,,,PACT,53,81.58%,50.0,0.0,4.17,0," $21,590,548 "," $407,369 ",102%," $31,969,092 "," $603,190 ",151%,,,,,
SAMUEL (MHOP) II,2019,,,,,PACT,10,75.08%,25.0,0.0,25.00,0," $4,129,039 "," $412,904 ",103%," $6,233,923 "," $623,392 ",156%,,,,,
SAMUEL (MHOP) III,2019,,,,,PACT,10,29.63%,100.0,100.0,0.00,0," $1,459,509 "," $145,951 ",36%," $6,051,159 "," $605,116 ",151%,,,,,
SHEEPSHEAD BAY,2028,,,,,PACT,"1,056",15.41%,165.5,80.9,10.31,0," $232,810,246 "," $220,464 ",55%," $298,210,840 "," $282,397 ",71%,,,,,
SOTOMAYOR,2021,,,,,PACT,"1,497",14.21%,192.6,95.4,13.50,0," $350,868,397 "," $234,381 ",59%," $441,182,559 "," $294,711 ",74%,,,,,
SOUNDVIEW,2023,,YES,,,PACT,"1,259",14.32%,102.7,85.6,12.24,781," $252,668,902 "," $200,690 ",50%," $335,248,433 "," $266,282 ",67%,,,,,
SOUTH BRONX AREA (SITE 402),2026,,,,,PACT,114,27.94%,177.7,220.5,22.32,0," $37,714,564 "," $330,830 ",83%," $69,991,640 "," $613,962 ",153%,,,,,
SOUTH JAMAICA I,2021,,,,,PACT,448,20.94%,139.7,89.2,16.97,0," $102,549,592 "," $228,905 ",57%," $123,823,227 "," $276,391 ",69%,,,,,
SOUTH JAMAICA II,2021,,YES,,,PACT,600,20.11%,239.3,77.1,18.23,375," $162,274,131 "," $270,457 ",68%," $197,469,842 "," $329,116 ",82%,,,,,
STEBBINS AVENUE-HEWITT PLACE,2026,,,,,PACT,120,34.32%,173.9,63.0,15.97,0," $21,178,971 "," $176,491 ",44%," $32,312,366 "," $269,270 ",67%,,,,,
STERLING PLACE REHABS (SAINT JOHNS-STERLING),2025,,,,,PACT,83,57.05%,333.7,81.9,15.66,0," $31,385,753 "," $378,142 ",95%," $44,734,373 "," $538,968 ",135%,,,,,
STERLING PLACE REHABS (STERLING-BUFFALO),2025,,,,,PACT,125,73.82%,409.7,68.5,16.13,0," $29,134,810 "," $233,078 ",58%," $58,121,362 "," $464,971 ",116%,,,,,
SUTTER AVENUE-UNION STREET,2021,,,,,PACT,100,57.13%,329.3,69.7,28.28,0," $29,285,113 "," $292,851 ",73%," $39,622,047 "," $396,220 ",99%,,,,,
TAPSCOTT STREET REHAB,2021,,,,,PACT,155,57.62%,300.0,88.1,11.61,0," $31,521,066 "," $203,362 ",51%," $65,137,484 "," $420,242 ",105%,,,,,
TELLER AVENUE-EAST 166TH STREET,2025,,,,,PACT,90,44.95%,300.0,95.6,17.05,0," $17,747,771 "," $197,197 ",49%," $26,322,529 "," $292,473 ",73%,,,,,
THROGGS NECK,2022,,YES,,,PACT,"1,185",16.01%,308.5,99.2,13.63,653," $363,064,284 "," $306,383 ",77%," $430,819,760 "," $363,561 ",91%,,,,,
THROGGS NECK ADDITION,2022,,,,,PACT,287,10.21%,127.4,88.6,13.43,0," $53,745,916 "," $187,268 ",47%," $81,096,855 "," $282,567 ",71%,,,,,
TWIN PARKS WEST (SITES 1 & 2),2018,,,,,PACT,312,17.52%,,,19.16,0," $47,848,343 "," $153,360 ",38%," $73,235,936 "," $234,731 ",59%,,,,,
UNION AVENUE-EAST 163RD STREET,2026,,,,,PACT,200,16.16%,92.5,9.0,0.00,0," $22,607,591 "," $113,038 ",28%," $41,101,075 "," $205,505 ",51%,,,,,
UNION AVENUE-EAST 166TH STREET,2026,,,,,PACT,120,39.45%,134.2,83.3,17.80,0," $24,962,379 "," $208,020 ",52%," $41,991,114 "," $349,926 ",87%,,,,,
UNITY PLAZA (SITES 172425A),2026,,,,,PACT,167,33.73%,241.7,71.2,17.47,0," $27,399,589 "," $164,069 ",41%," $40,535,567 "," $242,728 ",61%,,,,,
UNITY PLAZA (SITES 4-27),2026,,YES,,,PACT,462,35.92%,221.6,47.0,14.63,279," $94,325,877 "," $204,169 ",51%," $130,630,742 "," $282,751 ",71%,,,,,
VAN DYKE I,2024,,YES,,,PACT,"1,603",16.56%,189.2,84.5,17.40,852," $339,365,955 "," $211,707 ",53%," $401,793,963 "," $250,651 ",63%,,,,,
WASHINGTON,2023,,,,,PACT,"1,515",13.77%,179.9,88.0,11.22,0," $248,165,505 "," $163,806 ",41%," $370,117,686 "," $244,302 ",61%,,,,,
WASHINGTON HEIGHTS REHAB (GROUPS 1&2),2019,,,,,PACT,216,70.82%,360.3,40.2,8.88,0," $47,407,315 "," $219,478 ",55%," $68,917,772 "," $319,064 ",80%,,,,,
WASHINGTON HEIGHTS REHAB PHASE III,2019,,,,,PACT,102,72.38%,272.5,42.0,9.00,0," $29,238,226 "," $286,649 ",72%," $51,057,565 "," $500,564 ",125%,,,,,
WASHINGTON HEIGHTS REHAB PHASE IV (C),2019,,,,,PACT,32,69.96%,378.1,34.4,21.88,0," $5,337,445 "," $166,795 ",42%," $10,830,547 "," $338,455 ",85%,,,,,
WASHINGTON HEIGHTS REHAB PHASE IV (D),2019,,,,,PACT,32,70.08%,159.4,12.5,12.50,0," $6,047,569 "," $188,987 ",47%," $11,373,978 "," $355,437 ",89%,,,,,
WEEKSVILLE GARDENS,2019,,YES,,,PACT,257,44.73%,432.5,126.9,16.21,133," $34,049,620 "," $132,489 ",33%," $53,267,658 "," $207,267 ",52%,,,,,
WILLIAMS PLAZA,2019,,,,,PACT,577,16.43%,103.3,38.6,13.94,0," $68,316,730 "," $118,400 ",30%," $148,240,510 "," $256,916 ",64%,,,,,
WILLIAMSBURG,2020,,YES,,,PACT,"1,630",32.13%,132.5,43.7,9.70,971," $335,549,665 "," $205,859 ",51%," $478,048,388 "," $293,281 ",73%,,,,,
WISE TOWERS,2019,,YES,,,PACT,399,34.62%,287.8,78.7,5.87,303," $70,544,153 "," $176,802 ",44%," $95,383,990 "," $239,058 ",60%,,,,,
1010 EAST 178TH STREET,,,,,YES,Partial Modernization (Single Component Replacement),220,16.97%,82.2,22.5,15.28,0," $30,540,129 "," $138,819 ",35%," $46,933,776 "," $213,335 ",53%,,,,,
154 WEST 84TH STREET,,,,,YES,Partial Modernization (Single Component Replacement),35,60.01%,34.3,5.7,2.86,0," $5,109,009 "," $145,972 ",36%," $10,543,957 "," $301,256 ",75%,,,,,
303 VERNON AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),234,10.28%,134.9,47.8,11.16,0," $43,684,009 "," $186,684 ",47%," $51,463,542 "," $219,930 ",55%,,,,,
335 EAST 111TH STREET,,,,,YES,Partial Modernization (Single Component Replacement),66,45.25%,458.5,78.5,9.38,0," $14,357,084 "," $217,532 ",54%," $18,822,027 "," $285,182 ",71%,,,,,
45 ALLEN STREET,,,,,YES,Partial Modernization (Single Component Replacement),107,20.28%,246.6,64.1,4.81,0," $23,110,563 "," $215,987 ",54%," $32,812,204 "," $306,656 ",77%,,,,,
572 WARREN STREET,,,,,YES,Partial Modernization (Single Component Replacement),200,34.92%,223.7,50.0,12.06,0," $29,353,852 "," $146,769 ",37%," $49,232,267 "," $246,161 ",62%,,,,,
ADAMS,,,,,YES,Partial Modernization (Single Component Replacement),925,13.76%,65.1,46.1,15.73,0," $129,781,122 "," $140,304 ",35%," $206,619,814 "," $223,373 ",56%,,,,,
AMSTERDAM ADDITION,,,,,YES,Partial Modernization (Single Component Replacement),175,48.58%,124.7,44.8,9.88,0," $30,708,881 "," $175,479 ",44%," $42,193,444 "," $241,105 ",60%,,,,,
ARMSTRONG I,,,,,YES,Partial Modernization (Single Component Replacement),371,38.42%,236.3,71.9,13.66,0," $71,842,044 "," $193,644 ",48%," $138,773,704 "," $374,053 ",94%,,,,,
ARMSTRONG II,,,,,YES,Partial Modernization (Single Component Replacement),248,41.56%,263.4,67.5,16.33,0," $53,584,538 "," $216,067 ",54%," $95,651,670 "," $385,692 ",96%,,,,,
ATLANTIC TERMINAL SITE 4B,,,,,YES,Partial Modernization (Single Component Replacement),300,17.45%,151.0,69.3,9.09,0," $35,398,774 "," $117,996 ",29%," $59,402,272 "," $198,008 ",50%,,,,,
BAILEY AVENUE-WEST 193RD STREET,,,,,YES,Partial Modernization (Single Component Replacement),233,13.67%,363.5,76.1,8.58,0," $39,527,941 "," $169,648 ",42%," $53,855,501 "," $231,139 ",58%,,,,,
BAISLEY PARK,,,,,YES,Partial Modernization (Single Component Replacement),386,16.73%,114.8,57.5,13.87,0," $84,967,342 "," $220,123 ",55%," $107,739,424 "," $279,118 ",70%,,,,,
BARUCH HOUSES ADDITION,,,,,YES,Partial Modernization (Single Component Replacement),197,13.03%,84.0,10.8,0.00,0," $22,539,304 "," $114,413 ",29%," $32,888,595 "," $166,947 ",42%,,,,,
BAY VIEW,,,,,YES,Partial Modernization (Single Component Replacement),"1,610",15.41%,122.3,124.8,12.37,0," $360,557,897 "," $223,949 ",56%," $447,501,238 "," $277,951 ",69%,,,,,
BEACH 41ST STREET-BEACH CHANNEL DRIVE,,,,,YES,Partial Modernization (Single Component Replacement),712,11.51%,147.1,105.0,19.01,0," $107,814,298 "," $151,425 ",38%," $177,398,087 "," $249,155 ",62%,,,,,
BEDFORD-STUYVESANT REHAB,,,,,YES,Partial Modernization (Single Component Replacement),85,70.32%,168.7,37.3,13.10,0," $16,434,754 "," $193,350 ",48%," $27,985,264 "," $329,238 ",82%,,,,,
BELMONT-SUTTER AREA,,,,,YES,Partial Modernization (Single Component Replacement),72,30.49%,204.2,176.4,11.27,0," $11,794,298 "," $163,810 ",41%," $26,391,783 "," $366,553 ",92%,,,,,
BERRY,,,,,YES,Partial Modernization (Single Component Replacement),506,12.75%,140.1,70.5,11.53,0," $100,172,259 "," $197,969 ",49%," $139,497,589 "," $275,687 ",69%,,,,,
BERRY STREET-SOUTH 9TH STREET,,,,,YES,Partial Modernization (Single Component Replacement),150,30.61%,257.3,101.3,11.49,0," $31,412,977 "," $209,420 ",52%," $45,686,163 "," $304,574 ",76%,,,,,
BORINQUEN PLAZA I,,,,,YES,Partial Modernization (Single Component Replacement),509,38.63%,131.5,78.2,5.53,0," $116,235,688 "," $228,361 ",57%," $172,691,987 "," $339,277 ",85%,,,,,
BOSTON SECOR,,,,,YES,Partial Modernization (Single Component Replacement),538,5.90%,143.9,68.8,17.91,0," $76,350,845 "," $141,916 ",35%," $131,694,419 "," $244,785 ",61%,,,,,
BOYNTON AVENUE REHAB,,,,,YES,Partial Modernization (Single Component Replacement),82,54.85%,265.8,64.6,10.98,0," $13,146,948 "," $160,329 ",40%," $27,603,213 "," $336,625 ",84%,,,,,
BRONX RIVER ADDITION,,,,,YES,Partial Modernization (Single Component Replacement),226,19.66%,146.6,24.9,0.45,0," $31,730,415 "," $140,400 ",35%," $38,494,152 "," $170,328 ",43%,,,,,
BROWN,,,,,YES,Partial Modernization (Single Component Replacement),200,29.51%,105.6,17.9,0.00,0," $20,098,139 "," $100,491 ",25%," $42,815,811 "," $214,079 ",54%,,,,,
BROWNSVILLE,,,,,YES,Partial Modernization (Single Component Replacement),"1,338",23.00%,138.8,77.3,14.11,0," $262,527,627 "," $196,209 ",49%," $352,214,007 "," $263,239 ",66%,,,,,
BRYANT AVENUE-EAST 174TH STREET,,,,,YES,Partial Modernization (Single Component Replacement),72,43.91%,51.4,0.0,11.11,0," $9,621,797 "," $133,636 ",33%," $17,842,315 "," $247,810 ",62%,,,,,
BUSHWICK,,,,,YES,Partial Modernization (Single Component Replacement),"1,220",11.29%,190.9,52.7,12.41,0," $255,375,962 "," $209,325 ",52%," $315,718,093 "," $258,785 ",65%,,,,,
BUSHWICK II (GROUPS A & C),,,,,YES,Partial Modernization (Single Component Replacement),300,25.46%,161.0,63.4,11.07,0," $57,788,388 "," $192,628 ",48%," $112,650,387 "," $375,501 ",94%,,,,,
BUSHWICK II (GROUPS B & D),,,,,YES,Partial Modernization (Single Component Replacement),300,23.30%,119.5,82.9,10.51,0," $63,581,143 "," $211,937 ",53%," $101,235,321 "," $337,451 ",84%,,,,,
BUTLER,,,,,YES,Partial Modernization (Single Component Replacement),"1,492",15.81%,130.3,54.5,18.87,0," $232,235,196 "," $155,654 ",39%," $318,708,816 "," $213,612 ",53%,,,,,
CAREY GARDENS,,,,,YES,Partial Modernization (Single Component Replacement),683,15.94%,99.9,63.5,14.99,0," $102,931,228 "," $150,705 ",38%," $150,242,632 "," $219,975 ",55%,,,,,
CARLETON MANOR,,,,,YES,Partial Modernization (Single Component Replacement),174,9.69%,265.1,106.0,20.61,0," $26,056,611 "," $149,751 ",37%," $39,251,672 "," $225,584 ",56%,,,,,
CARVER,,,,,YES,Partial Modernization (Single Component Replacement),"1,246",15.31%,154.8,67.6,8.35,0," $206,595,329 "," $165,807 ",41%," $312,021,368 "," $250,418 ",63%,,,,,
CASSIDY-LAFAYETTE,,,,,YES,Partial Modernization (Single Component Replacement),380,24.34%,146.7,20.5,0.00,0," $71,366,280 "," $187,806 ",47%," $102,408,132 "," $269,495 ",67%,,,,,
CLINTON,,,,,YES,Partial Modernization (Single Component Replacement),749,21.28%,159.3,43.4,8.96,0," $134,154,666 "," $179,112 ",45%," $192,796,643 "," $257,405 ",64%,,,,,
CONEY ISLAND,,,,,YES,Partial Modernization (Single Component Replacement),534,12.75%,197.7,75.0,12.38,0," $95,096,487 "," $178,083 ",45%," $115,328,268 "," $215,971 ",54%,,,,,
CONEY ISLAND I (SITE 1B),,,,,YES,Partial Modernization (Single Component Replacement),193,15.13%,105.3,65.3,15.63,0," $32,490,274 "," $168,343 ",42%," $43,830,304 "," $227,100 ",57%,,,,,
CONEY ISLAND I (SITE 8),,,,,YES,Partial Modernization (Single Component Replacement),125,19.47%,326.3,128.8,19.49,0," $22,010,870 "," $176,087 ",44%," $29,356,766 "," $234,854 ",59%,,,,,
CONEY ISLAND I (SITES 4 & 5),,,,,YES,Partial Modernization (Single Component Replacement),376,20.69%,204.3,116.8,20.05,0," $61,527,838 "," $163,638 ",41%," $80,545,761 "," $214,217 ",54%,,,,,
CONLON LIHFE TOWERS,,,,,YES,Partial Modernization (Single Component Replacement),216,21.77%,165.1,7.2,0.00,0," $26,344,986 "," $121,968 ",30%," $39,254,112 "," $181,732 ",45%,,,,,
DE HOSTOS APARTMENTS,,,,,YES,Partial Modernization (Single Component Replacement),223,31.57%,158.6,72.1,11.52,0," $29,476,614 "," $132,182 ",33%," $44,923,753 "," $201,452 ",50%,,,,,
DOUGLASS ADDITION,,,,,YES,Partial Modernization (Single Component Replacement),135,37.08%,320.3,94.7,16.30,0," $21,399,704 "," $158,516 ",40%," $35,585,206 "," $263,594 ",66%,,,,,
DOUGLASS I,,,,,YES,Partial Modernization (Single Component Replacement),"1,305",17.73%,143.2,67.9,8.28,0," $207,734,053 "," $159,183 ",40%," $302,138,979 "," $231,524 ",58%,,,,,
DOUGLASS II,,,,,YES,Partial Modernization (Single Component Replacement),753,10.61%,167.0,82.7,10.41,0," $114,115,722 "," $151,548 ",38%," $161,629,881 "," $214,648 ",54%,,,,,
DREW-HAMILTON,,,,,YES,Partial Modernization (Single Component Replacement),"1,217",23.84%,225.2,50.0,12.84,0," $164,416,477 "," $135,100 ",34%," $249,127,899 "," $204,707 ",51%,,,,,
EAST 165TH STREET-BRYANT AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),111,29.90%,19.8,0.0,11.82,0," $20,822,690 "," $187,592 ",47%," $35,556,948 "," $320,333 ",80%,,,,,
EAST 173RD STREET-VYSE AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),168,28.46%,27.4,0.0,14.97,0," $23,610,997 "," $140,542 ",35%," $40,165,351 "," $239,079 ",60%,,,,,
EAST 180TH STREET-MONTEREY AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),239,39.11%,89.9,32.9,11.76,0," $38,094,917 "," $159,393 ",40%," $62,328,995 "," $260,791 ",65%,,,,,
FOREST,,,,,YES,Partial Modernization (Single Component Replacement),"1,350",16.19%,190.5,71.1,11.89,0," $261,370,768 "," $193,608 ",48%," $332,274,173 "," $246,129 ",62%,,,,,
FOREST HILLS COOP (108TH STREET-62ND DRIVE),,,,,YES,Partial Modernization (Single Component Replacement),430,,,,,," $84,009,815 "," $195,372 ",49%," $118,594,488 "," $275,801 ",69%,,,,,
FORT INDEPENDENCE STREET-HEATH AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),344,16.87%,257.2,64.9,10.29,0," $50,021,212 "," $145,410 ",36%," $78,583,757 "," $228,441 ",57%,,,,,
GARVEY (GROUP A),,,,,YES,Partial Modernization (Single Component Replacement),321,28.55%,187.3,96.5,13.21,0," $62,398,171 "," $194,387 ",49%," $94,280,419 "," $293,708 ",73%,,,,,
GOMPERS,,,,,YES,Partial Modernization (Single Component Replacement),474,15.25%,203.0,55.3,9.59,0," $88,308,027 "," $186,304 ",47%," $109,989,347 "," $232,045 ",58%,,,,,
GOWANUS,,,,,YES,Partial Modernization (Single Component Replacement),"1,139",19.29%,165.8,57.5,10.98,0," $208,164,182 "," $182,760 ",46%," $291,404,836 "," $255,843 ",64%,,,,,
HABER,,,,,YES,Partial Modernization (Single Component Replacement),380,17.78%,60.5,23.2,0.00,0," $58,101,597 "," $152,899 ",38%," $77,237,817 "," $203,257 ",51%,,,,,
HARRISON AVENUE REHAB (GROUP A),,,,,YES,Partial Modernization (Single Component Replacement),34,73.07%,103.0,0.0,17.65,0," $4,545,717 "," $133,698 ",33%," $11,717,988 "," $344,647 ",86%,,,,,
HARRISON AVENUE REHAB (GROUP B),,,,,YES,Partial Modernization (Single Component Replacement),150,66.93%,84.4,3.4,12.67,0," $20,650,693 "," $137,671 ",34%," $56,354,618 "," $375,697 ",94%,,,,,
HERNANDEZ,,,,,YES,Partial Modernization (Single Component Replacement),149,29.46%,185.0,37.4,5.41,0," $23,054,365 "," $154,727 ",39%," $37,659,775 "," $252,750 ",63%,,,,,
HOE AVENUE-EAST 173RD STREET,,,,,YES,Partial Modernization (Single Component Replacement),65,42.01%,56.9,1.5,27.69,0," $11,596,042 "," $178,401 ",45%," $17,281,273 "," $265,866 ",66%,,,,,
HOLMES TOWERS,,,,,YES,Partial Modernization (Single Component Replacement),537,16.24%,112.8,31.1,9.74,0," $58,912,021 "," $109,706 ",27%," $101,007,606 "," $188,096 ",47%,,,,,
HOWARD,,,,,YES,Partial Modernization (Single Component Replacement),815,13.16%,158.3,68.5,13.17,0," $149,984,757 "," $184,030 ",46%," $195,810,663 "," $240,258 ",60%,,,,,
HUGHES APARTMENTS,,,,,YES,Partial Modernization (Single Component Replacement),513,9.71%,61.4,89.6,19.33,0," $71,755,386 "," $139,874 ",35%," $122,166,843 "," $238,142 ",60%,,,,,
HYLAN,,,,,YES,Partial Modernization (Single Component Replacement),209,14.68%,148.8,51.2,14.49,0," $33,903,129 "," $162,216 ",41%," $42,500,453 "," $203,351 ",51%,,,,,
INGERSOLL,,,,,YES,Partial Modernization (Single Component Replacement),"1,840",17.62%,173.0,54.9,13.18,0," $161,198,907 "," $87,608 ",22%," $466,197,218 "," $253,368 ",63%,,,,,
INTERNATIONAL TOWER,,,,,YES,Partial Modernization (Single Component Replacement),159,29.86%,122.8,10.3,0.00,0," $25,139,665 "," $158,111 ",40%," $39,942,631 "," $251,212 ",63%,,,,,
ISAACS,,,,,YES,Partial Modernization (Single Component Replacement),636,21.45%,129.4,27.0,10.76,0," $82,991,074 "," $130,489 ",33%," $133,846,444 "," $210,450 ",53%,,,,,
JACKSON,,,,,YES,Partial Modernization (Single Component Replacement),868,17.34%,201.5,91.1,14.30,0," $158,960,414 "," $183,134 ",46%," $210,141,343 "," $242,098 ",61%,,,,,
KING TOWERS,,,,,YES,Partial Modernization (Single Component Replacement),"1,379",16.49%,233.5,61.3,10.74,0," $213,403,235 "," $154,752 ",39%," $304,672,387 "," $220,937 ",55%,,,,,
KINGSBOROUGH EXTENSION,,,,,YES,Partial Modernization (Single Component Replacement),184,11.24%,87.7,12.8,0.00,0," $19,483,979 "," $105,891 ",26%," $34,954,029 "," $189,968 ",47%,,,,,
LAFAYETTE,,,,,YES,Partial Modernization (Single Component Replacement),882,17.50%,131.9,59.9,16.99,0," $120,966,880 "," $137,151 ",34%," $226,912,112 "," $257,270 ",64%,,,,,
LATIMER GARDENS,,,,,YES,Partial Modernization (Single Component Replacement),423,23.98%,94.1,38.0,7.84,0," $59,499,172 "," $140,660 ",35%," $106,123,842 "," $250,884 ",63%,,,,,
LEAVITT STREET-34TH AVENUE,,,,,YES,Partial Modernization (Single Component Replacement),83,42.30%,112.0,14.5,0.00,0," $8,373,581 "," $100,887 ",25%," $20,584,789 "," $248,010 ",62%,,,,,
LEHMAN,,,,,YES,Partial Modernization (Single Component Replacement),622,16.29%,148.8,47.2,11.54,0," $104,947,785 "," $168,726 ",42%," $149,331,219 "," $240,082 ",60%,,,,,
LONGFELLOW AVENUE REHAB,,,,,YES,Partial Modernization (Single Component Replacement),75,62.76%,68.0,0.0,24.00,0," $14,900,157 "," $198,669 ",50%," $27,155,126 "," $362,068 ",91%,,,,,
LOW HOUSES,,,,,YES,Partial Modernization (Single Component Replacement),536,17.61%,190.1,51.6,17.86,0," $98,433,766 "," $183,645 ",46%," $135,189,440 "," $252,219 ",63%,,,,,
LOWER EAST SIDE I INFILL,,,,,YES,Partial Modernization (Single Component Replacement),189,43.25%,184.5,55.6,4.28,0," $34,022,974 "," $180,016 ",45%," $48,541,716 "," $256,834 ",64%,,,,,
LOWER EAST SIDE III,,,,,YES,Partial Modernization (Single Component Replacement),56,53.36%,12.5,7.1,10.71,0," $11,636,531 "," $207,795 ",52%," $22,392,884 "," $399,873 ",100%,,,,,
MCKINLEY,,,,,YES,Partial Modernization (Single Component Replacement),619,14.24%,130.0,83.5,12.01,0," $142,450,195 "," $230,130 ",58%," $159,095,826 "," $257,021 ",64%,,,,,
MELTZER TOWER,,,,,YES,Partial Modernization (Single Component Replacement),231,13.77%,112.7,10.0,0.00,0," $22,852,889 "," $98,930 ",25%," $39,863,353 "," $172,569 ",43%,,,,,
METRO NORTH PLAZA,,,,,YES,Partial Modernization (Single Component Replacement),275,34.81%,260.2,100.7,9.26,0," $51,855,154 "," $188,564 ",47%," $73,521,544 "," $267,351 ",67%,,,,,
MOORE,,,,,YES,Partial Modernization (Single Component Replacement),463,18.65%,158.7,66.5,17.17,0," $74,182,710 "," $160,222 ",40%," $102,795,289 "," $222,020 ",56%,,,,,
MORRIS I,,,,,YES,Partial Modernization (Single Component Replacement),"1,085",15.98%,157.1,58.0,17.16,0," $193,757,996 "," $178,579 ",45%," $269,588,395 "," $248,469 ",62%,,,,,
MORRIS II,,,,,YES,Partial Modernization (Single Component Replacement),802,14.46%,166.7,56.2,17.27,0," $126,901,533 "," $158,231 ",40%," $184,384,880 "," $229,906 ",57%,,,,,
MORRIS PARK SENIOR CITIZENS HOME,,,,,YES,Partial Modernization (Single Component Replacement),97,64.91%,62.5,9.4,0.00,0," $17,307,292 "," $178,426 ",45%," $23,737,063 "," $244,712 ",61%,,,,,
MORRISANIA,,,,,YES,Partial Modernization (Single Component Replacement),206,21.39%,116.1,80.5,22.44,0," $34,687,461 "," $168,386 ",42%," $43,532,258 "," $211,322 ",53%,,,,,
MORRISANIA AIR RIGHTS,,,,,YES,Partial Modernization (Single Component Replacement),843,23.49%,120.0,49.7,8.00,0," $135,525,727 "," $160,766 ",40%," $170,578,015 "," $202,346 ",51%,,,,,
MOTT HAVEN,,,,,YES,Partial Modernization (Single Component Replacement),993,18.80%,127.5,70.1,19.76,0," $164,271,482 "," $165,429 ",41%," $238,576,949 "," $240,259 ",60%,,,,,
NEW LANE AREA,,,,,YES,Partial Modernization (Single Component Replacement),277,24.08%,65.2,5.6,0.00,0," $23,962,367 "," $86,507 ",22%," $57,811,879 "," $208,707 ",52%,,,,,
OCEAN BAY APARTMENTS (OCEANSIDE),,,,,YES,Partial Modernization (Single Component Replacement),418,18.66%,141.6,79.7,13.73,0," $57,679,602 "," $137,989 ",34%," $115,734,742 "," $276,877 ",69%,,,,,
OCEAN HILL APARTMENTS,,,,,YES,Partial Modernization (Single Component Replacement),238,14.53%,84.2,47.0,17.24,0," $44,199,222 "," $185,711 ",46%," $63,216,776 "," $265,617 ",66%,,,,,
O'DWYER GARDENS,,,,,YES,Partial Modernization (Single Component Replacement),573,12.50%,132.0,46.1,8.04,0," $96,370,384 "," $168,186 ",42%," $126,624,092 "," $220,984 ",55%,,,,,
